Level,GrammarPoint,Japanese,English
N2,だけのことはある,だけのことはある,No wonder
N2,てはならない,てはならない,Must not
N2,てはいられない,てはいられない,Can&#39;t afford to
N2,陸に～ない,陸に～ない,Not well or properly
N2,しかも,しかも,Moreover
N2,てでも,てでも,Even if I have to
N2,とも,とも,Even if
N2,ないわけにはいかない,ないわけにはいかない,Can&#39;t not
N2,というわけではない,というわけではない,It is not that
N2,のももっともだ,のももっともだ,May well
N2,たって,たって,Even if
N1,に至るまで,に至るまで,(Everything) from...to...
N1,たところで,たところで,Even if ~ cannot or wi...
N1,如く・如き・如し,如く,Like
N1,に足る,に足る,To be worthy of
N1,極まりない・極まる,極まりない,Extreme
N1,といえども,といえども,Even (if)
N1,を以て,を以て,By means of
N1,きらいがある,きらいがある,Have a tendency to
N1,ならまだしも,ならまだしも,A is fine...but B is not
N1,までもない,までもない,There is no need to
N1,ともなると・にもなると,ともなると,When
N1,をいいことに,をいいことに,To take advantage of
N1,如何,如何,Depending on
N1,～るまでだ,～るまでだ,Just
N1,にあって,にあって,At
N1,を余儀なくされる,を余儀なくされる,To be forced to do som...
N1,とは,とは,That...
N1,じゃあるまいし,じゃあるまいし,You are not ~ so...
N1,てからというもの,てからというもの,After
N1,かたわら,かたわら,While
N1,を皮切りに,を皮切りに,Beginning of
N1,に至っては,に至っては,When it comes to
N1,なり,なり,As soon as
N1,ともなく・ともなしに,ともなく,Absentmindedly
N1,塗れ,塗れ,Stained
N1,ようが～まいが,ようが～まいが,Even if
N1,からする,からする,About
N1,にして①,にして①,At
N1,ものを,ものを,But
N1,であれ,であれ,Even if
N1,をおいてほかに〜ない,をおいてほかに〜ない,No...but
N1,をもって,をもって,As of
N1,とはいえ,とはいえ,Though
N1,ならでは,ならでは,Unique to
N1,すら,すら,Even
N1,あっての,あっての,Exist only because of ...
N1,～たまでだ,～たまでだ,Just
N1,を経て,を経て,Via
N1,ながらに,ながらに,While being
N1,たなり・なり,たなり,While... ~ing
N1,の極み,の極み,Ultimate
N1,にしてみれば,にしてみれば,For (A)
N1,だの,だの,Things like
N1,あくまでも,あくまでも,To the (bitter) end
N1,べく,べく,For the purpose of
N1,ところを,ところを,When
N1,からある,からある,As much as
N1,にして②,にして②,To be ~ and ~
N1,つ〜つ,つ〜つ,two contrasting actions
N1,飽くまで(も),飽くまで(も),Just
N1,であれ〜であれ,であれ〜であれ,Whether or
N1,たら最後,たら最後,Once
N1,いかなる,いかなる,What kind of
N1,なりに,なりに,In one&#39;s own way
N1,れる・られる + ままに,れる,Do as (one is told or ...
N1,にまつわる,にまつわる,Surrounding
N1,たる,たる,To be (in a position of)
N1,なら〜で,なら〜で,If ~ should
N1,をものともせず,をものともせず,Making nothing of
N1,には当たらない,には当たらない,No need to/for
N1,ものと思う,ものと思う,Think that
N1,を踏まえて,を踏まえて,Based on
N1,ゆえに,ゆえに,Because
N1,という,という,Every single
N1,にとどまらず,にとどまらず,Not limited to
N1,と思いきや,と思いきや,Thought...but
N1,どうにも,どうにも,Cannot
N1,ことだし,ことだし,(And) so
N1,がん～,がん～,Totally
N1,か否か,か否か,Whether or not
N1,たら〜で,たら〜で,Even if
N1,べくして,べくして,As expected
N1,まま(に),まま(に),As (one likes
N1,かれ〜かれ,かれ〜かれ,Or
N1,〜に〜ない,〜に〜ない,Cannot even...if wants
N1,なくして(は),なくして(は),Without
N1,のなんのって,のなんのって,So much that
N1,にかかっている,にかかっている,To depend on
N1,てやまない,てやまない,Never cease to
N1,ぐらいなら,ぐらいなら,Would rather...than
N1,ってば・ったら,ってば,I said...!
N1,ずとも,ずとも,Even if not
N1,とあって,とあって,Since...(it is no wond...
N1,でもなんでもない,でもなんでもない,Not at all
N1,ぐるみで,ぐるみで,Whole
N1,そばから,そばから,As soon as
N1,訳あり(訳あって),訳あり(訳あって),～ with reasons
N1,に至って・に至り,に至って,When it came to
N1,だに + しない,だに + しない,Not even
N1,がてら,がてら,On the occasion of
N1,んがため(に),んがため(に),In order to
N1,いかん〜ず,いかん〜ず,Regardless of (whateve...
N1,にも～ない,にも～ない,Cannot... even if one ...
N1,い-Adj[く] + もなんともない,い-Adj[く] + も...,Not... or anything
N1,Verb + だに,Verb + だに,Just
N1,～なり～なり,～なり～なり,Or
N1,ないでもない,ないでもない,Kind of
N1,もさることながら,もさることながら,It is a fact that
N1,ものと思っていた,ものと思っていた,Was under the impressi...
N1,でなくてなんだろう,でなくてなんだろう,If … is not … then wha...
N1,はさておき・はさておいて,はさておき,(Leaving or putting) a...
N1,折には,折には,When
N1,とばかり（に）,とばかり（に）,As if (to say)
N1,わ〜わ,わ〜わ,~and ~and
N1,なりとも,なりとも,Even (a little)
N1,に至っても,に至っても,Even when
N1,を兼ねて,を兼ねて,And also
N1,Verb[ない]もの(だろう)か,Verb[ない]もの(だ...,(Why) can’t
N1,Verb[て] + みせる,Verb[て] + みせる,I will definitely
N1,相まって,相まって,Combined with
N1,に足りない,に足りない,To not be worthy
N1,べからず,べからず,Do not
N1,んばかりに,んばかりに,As if
N1,に則って・に則り,に則って,According to
N1,Adj限りだ,Adj限りだ,Extremely
N1,はおろか,はおろか,Let alone
N1,めく・めいた,めく,Like
N1,といわず,といわず,Not only A or B but ev...
N1,にもほどがある,にもほどがある,There is a limit to
N1,にもまして,にもまして,Even -er than
N1,まくる,まくる,Like crazy
N1,わ〜わ（で）,わ〜わ（で）,And...so
N1,どうにか,どうにか,Somehow (or other)
N1,や否や,や否や,As soon as
N1,次第です,次第です,Because the reason is
N1,というところ,というところ,I would say (about)
N1,１～たりとも～ない,１～たりとも～ない,Not even one
N1,ったらない・といったらない,ったらない,Cannot tell
N1,に照らして・に照らすと,に照らして,In light of
N1,とあれば,とあれば,(Emphatic) if
N1,さぞ,さぞ,You must be very
N1,ときたら,ときたら,When it comes to
N1,びる,びる,-like
N1,にしたところで,にしたところで,Even
N1,～ばこそ,～ばこそ,Precisely because
N1,ても差し支えない,ても差し支えない,May
N1,には及ばない①,には及ばない①,There is no need to
N1,に即して,に即して,In line with
N1,ないまでも,ないまでも,May not … but (at least)
N1,をよそに,をよそに,Ignoring
N1,に限ったことではない,に限ったことではない,Not limited to
N1,とは比べものにならない,とは比べものにならない,Nothing compared to
N1,まじき,まじき,Unbecoming of
N1,の至り,の至り,Utmost
N1,に恥じない,に恥じない,Lives up to
N1,ずじまい,ずじまい,Ended up not
N1,に言わせれば・に言わせると・に言わせたら,に言わせれば,If you ask
N1,ったら・といったら,ったら,Cannot tell
N1,こととて,こととて,Due to
N1,ずくめ,ずくめ,Completely
N1,には及ばない②,には及ばない②,To be no match (for)
N1,とは言うものの,とは言うものの,Although
N1,が早いか,が早いか,As soon as
N1,に難くない,に難くない,Not hard to
N1,ならいざ知らず,ならいざ知らず,Don’t know about it
N1,を禁じ得ない,を禁じ得ない,Cannot help feeling
N1,にかこつけて,にかこつけて,In the name of
N1,ようによっては,ようによっては,Depending on the way
N1,べくもない,べくもない,No (doubt or hope)
N1,と来たら,と来たら,For …(is the best)
N1,ものとして,ものとして,Assuming
N1,を前提に,を前提に,On the premise of
N1,ずにはすまない,ずにはすまない,Won&#39;t get away without
N1,に堪えない,に堪えない,Cannot bear to
N1,始末だ,始末だ,Ends up
N1,ものなら②,ものなら②,If you were to do
N1,にひきかえ,にひきかえ,In stark contrast
N1,それまでだ,それまでだ,If… then it is all in ...
N1,といおうか,といおうか,How to put it
N1,ずにはおかない,ずにはおかない,Will definitely
N1,を限りに,を限りに,As of (the end of)
N1,てはかなわない,てはかなわない,It&#39;s unbearable when
N1,かたがた,かたがた,Partly for (the purpos...
N1,を余儀なくさせる,を余儀なくさせる,Force to
N1,～てやる,～てやる,Just wait and see
N1,ただ〜のみ,ただ〜のみ,Nothing but
N1,ものとする,ものとする,Shall
N1,との,との,That
N1,以前,以前,Before
N1,ともあろう,ともあろう,Of all people
N1,こそすれ〜ない,こそすれ〜ない,And certainly not
N1,並み,並み,As
N1,に先駆けて,に先駆けて,First
N1,を機に,を機に,Opportunity
